,record_identifier,meter_number,consumption,file_type_identifier,company_id,file_generation_number,measurement_datetime,file_creation_datetime
1,CONSU,2,10.28,SMRT,GAZ,PN000001,2019/10/14 11:00:00,2019/10/16 10:29:39
2,CONSU,2,2.84,SMRT,GAZ,PN000001,2019/10/14 12:00:00,2019/10/16 10:29:39
3,CONSU,2,14.65,SMRT,GAZ,PN000001,2019/10/14 13:00:00,2019/10/16 10:29:39
4,CONSU,2,11.69,SMRT,GAZ,PN000001,2019/10/14 14:00:00,2019/10/16 10:29:39
5,CONSU,2,14.02,SMRT,GAZ,PN000001,2019/10/14 15:00:00,2019/10/16 10:29:39
6,CONSU,2,11.5,SMRT,GAZ,PN000001,2019/10/14 16:00:00,2019/10/16 10:29:39
7,CONSU,2,15.5,SMRT,GAZ,PN000001,2019/10/14 17:00:00,2019/10/16 10:29:39
8,CONSU,2,5.79,SMRT,GAZ,PN000001,2019/10/14 18:00:00,2019/10/16 10:29:39
9,CONSU,2,18.12,SMRT,GAZ,PN000001,2019/10/14 19:00:00,2019/10/16 10:29:39
10,CONSU,2,11.14,SMRT,GAZ,PN000001,2019/10/14 20:00:00,2019/10/16 10:29:39
11,CONSU,2,1.29,SMRT,GAZ,PN000001,2019/10/14 21:00:00,2019/10/16 10:29:39
12,CONSU,2,6.55,SMRT,GAZ,PN000001,2019/10/14 22:00:00,2019/10/16 10:29:39
13,CONSU,2,16.54,SMRT,GAZ,PN000001,2019/10/14 23:00:00,2019/10/16 10:29:39
14,CONSU,2,3.12,SMRT,GAZ,PN000001,2019/10/15 00:00:00,2019/10/16 10:29:39
15,CONSU,2,0.22,SMRT,GAZ,PN000001,2019/10/15 01:00:00,2019/10/16 10:29:39
16,CONSU,2,18.27,SMRT,GAZ,PN000001,2019/10/15 02:00:00,2019/10/16 10:29:39
17,CONSU,2,4.66,SMRT,GAZ,PN000001,2019/10/15 03:00:00,2019/10/16 10:29:39
18,CONSU,2,1.08,SMRT,GAZ,PN000001,2019/10/15 04:00:00,2019/10/16 10:29:39
19,CONSU,2,11.14,SMRT,GAZ,PN000001,2019/10/15 05:00:00,2019/10/16 10:29:39
20,CONSU,2,5.29,SMRT,GAZ,PN000001,2019/10/15 06:00:00,2019/10/16 10:29:39
21,CONSU,2,9.86,SMRT,GAZ,PN000001,2019/10/15 07:00:00,2019/10/16 10:29:39
22,CONSU,2,8.65,SMRT,GAZ,PN000001,2019/10/15 08:00:00,2019/10/16 10:29:39
23,CONSU,2,12.06,SMRT,GAZ,PN000001,2019/10/15 09:00:00,2019/10/16 10:29:39
24,CONSU,2,1.25,SMRT,GAZ,PN000001,2019/10/15 10:00:00,2019/10/16 10:29:39
25,CONSU,2,0.3,SMRT,GAZ,PN000001,2019/10/15 11:00:00,2019/10/16 10:29:39
26,CONSU,2,15.72,SMRT,GAZ,PN000001,2019/10/15 12:00:00,2019/10/16 10:29:39
27,CONSU,2,8.06,SMRT,GAZ,PN000001,2019/10/15 13:00:00,2019/10/16 10:29:39
28,CONSU,2,17.88,SMRT,GAZ,PN000001,2019/10/15 14:00:00,2019/10/16 10:29:39
29,CONSU,2,7.99,SMRT,GAZ,PN000001,2019/10/15 15:00:00,2019/10/16 10:29:39
30,CONSU,2,13.67,SMRT,GAZ,PN000001,2019/10/15 16:00:00,2019/10/16 10:29:39
31,CONSU,2,17.08,SMRT,GAZ,PN000001,2019/10/15 17:00:00,2019/10/16 10:29:39
32,CONSU,2,16.19,SMRT,GAZ,PN000001,2019/10/15 18:00:00,2019/10/16 10:29:39
33,CONSU,2,11.94,SMRT,GAZ,PN000001,2019/10/15 19:00:00,2019/10/16 10:29:39
34,CONSU,2,11.8,SMRT,GAZ,PN000001,2019/10/15 20:00:00,2019/10/16 10:29:39
35,CONSU,2,16.32,SMRT,GAZ,PN000001,2019/10/15 21:00:00,2019/10/16 10:29:39
36,CONSU,2,2.88,SMRT,GAZ,PN000001,2019/10/15 22:00:00,2019/10/16 10:29:39
37,CONSU,2,2.14,SMRT,GAZ,PN000001,2019/10/15 23:00:00,2019/10/16 10:29:39
38,CONSU,2,14.36,SMRT,GAZ,PN000001,2019/10/16 00:00:00,2019/10/16 10:29:39
39,CONSU,2,3.2,SMRT,GAZ,PN000001,2019/10/16 01:00:00,2019/10/16 10:29:39
40,CONSU,2,10.57,SMRT,GAZ,PN000001,2019/10/16 02:00:00,2019/10/16 10:29:39
41,CONSU,2,7.81,SMRT,GAZ,PN000001,2019/10/16 03:00:00,2019/10/16 10:29:39
42,CONSU,2,17.6,SMRT,GAZ,PN000001,2019/10/16 04:00:00,2019/10/16 10:29:39
43,CONSU,2,12.3,SMRT,GAZ,PN000001,2019/10/16 05:00:00,2019/10/16 10:29:39
44,CONSU,2,15.21,SMRT,GAZ,PN000001,2019/10/16 06:00:00,2019/10/16 10:29:39
45,CONSU,2,14.77,SMRT,GAZ,PN000001,2019/10/16 07:00:00,2019/10/16 10:29:39
46,CONSU,3,4.58,SMRT,GAZ,PN000001,2019/10/14 01:00:00,2019/10/16 10:29:39
47,CONSU,3,3.65,SMRT,GAZ,PN000001,2019/10/14 02:00:00,2019/10/16 10:29:39
48,CONSU,3,5.53,SMRT,GAZ,PN000001,2019/10/14 03:00:00,2019/10/16 10:29:39
49,CONSU,3,3.28,SMRT,GAZ,PN000001,2019/10/14 04:00:00,2019/10/16 10:29:39
50,CONSU,3,0.18,SMRT,GAZ,PN000001,2019/10/14 05:00:00,2019/10/16 10:29:39
51,CONSU,3,6.3,SMRT,GAZ,PN000001,2019/10/14 06:00:00,2019/10/16 10:29:39
52,CONSU,3,13.82,SMRT,GAZ,PN000001,2019/10/14 07:00:00,2019/10/16 10:29:39
53,CONSU,3,8.68,SMRT,GAZ,PN000001,2019/10/14 08:00:00,2019/10/16 10:29:39
54,CONSU,3,11.24,SMRT,GAZ,PN000001,2019/10/14 09:00:00,2019/10/16 10:29:39
55,CONSU,3,2.82,SMRT,GAZ,PN000001,2019/10/14 10:00:00,2019/10/16 10:29:39
56,CONSU,3,8.84,SMRT,GAZ,PN000001,2019/10/14 11:00:00,2019/10/16 10:29:39
57,CONSU,3,10.0,SMRT,GAZ,PN000001,2019/10/14 12:00:00,2019/10/16 10:29:39
58,CONSU,3,17.0,SMRT,GAZ,PN000001,2019/10/14 13:00:00,2019/10/16 10:29:39
59,CONSU,3,12.85,SMRT,GAZ,PN000001,2019/10/14 14:00:00,2019/10/16 10:29:39
60,CONSU,3,9.84,SMRT,GAZ,PN000001,2019/10/14 15:00:00,2019/10/16 10:29:39
61,CONSU,3,0.31,SMRT,GAZ,PN000001,2019/10/14 16:00:00,2019/10/16 10:29:39
62,CONSU,3,9.55,SMRT,GAZ,PN000001,2019/10/14 17:00:00,2019/10/16 10:29:39
63,CONSU,3,2.48,SMRT,GAZ,PN000001,2019/10/14 18:00:00,2019/10/16 10:29:39
64,CONSU,3,12.16,SMRT,GAZ,PN000001,2019/10/14 19:00:00,2019/10/16 10:29:39
65,CONSU,3,12.06,SMRT,GAZ,PN000001,2019/10/14 20:00:00,2019/10/16 10:29:39
66,CONSU,3,18.92,SMRT,GAZ,PN000001,2019/10/14 21:00:00,2019/10/16 10:29:39
67,CONSU,3,5.46,SMRT,GAZ,PN000001,2019/10/14 22:00:00,2019/10/16 10:29:39
68,CONSU,3,19.01,SMRT,GAZ,PN000001,2019/10/14 23:00:00,2019/10/16 10:29:39
69,CONSU,3,5.68,SMRT,GAZ,PN000001,2019/10/15 00:00:00,2019/10/16 10:29:39
70,CONSU,3,2.91,SMRT,GAZ,PN000001,2019/10/15 01:00:00,2019/10/16 10:29:39
71,CONSU,3,13.76,SMRT,GAZ,PN000001,2019/10/15 02:00:00,2019/10/16 10:29:39
72,CONSU,3,8.76,SMRT,GAZ,PN000001,2019/10/15 03:00:00,2019/10/16 10:29:39
73,CONSU,3,8.29,SMRT,GAZ,PN000001,2019/10/15 04:00:00,2019/10/16 10:29:39
74,CONSU,3,5.95,SMRT,GAZ,PN000001,2019/10/15 05:00:00,2019/10/16 10:29:39
75,CONSU,3,0.58,SMRT,GAZ,PN000001,2019/10/15 06:00:00,2019/10/16 10:29:39
76,CONSU,3,17.56,SMRT,GAZ,PN000001,2019/10/15 07:00:00,2019/10/16 10:29:39
77,CONSU,3,0.18,SMRT,GAZ,PN000001,2019/10/15 08:00:00,2019/10/16 10:29:39
78,CONSU,3,7.15,SMRT,GAZ,PN000001,2019/10/15 09:00:00,2019/10/16 10:29:39
79,CONSU,3,13.69,SMRT,GAZ,PN000001,2019/10/15 10:00:00,2019/10/16 10:29:39
80,CONSU,3,5.09,SMRT,GAZ,PN000001,2019/10/15 11:00:00,2019/10/16 10:29:39
81,CONSU,3,6.4,SMRT,GAZ,PN000001,2019/10/15 12:00:00,2019/10/16 10:29:39
82,CONSU,3,15.53,SMRT,GAZ,PN000001,2019/10/15 13:00:00,2019/10/16 10:29:39
